センサNo.,Location No.,Waffelpack Number,Waffelpack Row,Waffelpack Column,Wafer-ID,Wafer Row,Wafer Column,Bincode
35494_032_PSP_MAINL,1,1,3,6,N6Y21501D6,-1,5,49
,2,1,3,5,N6Y21501D6,-1,6,49
,3,1,3,4,N6Y21501D6,-1,7,49
,4,1,3,3,N6Y21501D6,-1,8,49
,5,1,3,2,N6Y21501D6,-1,9,49
,6,1,3,1,N6Y21501D6,-1,10,49
,7,1,2,6,N6Y21501D6,-1,16,49
,8,1,2,5,N6Y21501D6,-1,15,49
,9,1,2,4,N6Y21501D6,-1,14,49
,10,1,2,3,N6Y21501D6,-1,13,49
,11,1,2,2,N6Y21501D6,-1,12,49
,12,1,2,1,N6Y21501D6,-1,11,49
,13,1,1,6,N6Y21501D6,-1,17,49
,14,1,1,5,N6Y21501D6,-1,18,49
,15,1,1,4,N6Y21501D6,0,12,49
,16,1,1,3,N6Y21501D6,0,11,49
35494_033_PSP_MAINL,1,1,1,1,N6Y21501D6,0,9,49
,2,2,3,6,N6Y21501D6,-3,19,49
,3,2,3,5,N6Y21501D6,-3,20,49
,4,2,3,4,N6Y21501D6,-3,21,49
,5,2,3,3,N6Y21501D6,-2,19,49
,6,2,3,2,N6Y21501D6,-2,18,49
,7,2,3,1,N6Y21501D6,-2,17,49
,8,2,2,6,N6Y21501D6,-2,10,49
,9,2,2,5,N6Y21501D6,-2,12,49
,10,2,2,4,N6Y21501D6,-2,13,49
,11,2,2,3,N6Y21501D6,-2,14,49
,12,2,2,2,N6Y21501D6,-2,15,49
,13,2,2,1,N6Y21501D6,-2,16,49
,14,2,1,6,N6Y21501D6,-2,9,49
,15,2,1,3,N6Y21501D6,-2,6,49
,16,2,1,2,N6Y21501D6,-2,4,49
35494_036_PSP_MAINL,1,4,1,4,N6Y21501D6,-4,5,49
,2,4,1,3,N6Y21501D6,-4,4,49
,3,4,1,2,N6Y21501D6,-4,3,49
,4,4,1,1,N6Y21501D6,-4,2,49
,5,5,3,6,N6Y21501D6,-5,6,49
,6,5,3,5,N6Y21501D6,-5,7,49
,7,5,3,4,N6Y21501D6,-5,8,49
,8,5,3,3,N6Y21501D6,-5,9,49
,9,5,3,2,N6Y21501D6,-5,10,49
,10,5,3,1,N6Y21501D6,-5,11,49
,11,5,2,6,N6Y21501D6,-5,18,49
,12,5,2,5,N6Y21501D6,-5,17,49
,13,5,2,4,N6Y21501D6,-5,16,49
,14,5,2,3,N6Y21501D6,-5,15,49
,15,5,2,2,N6Y21501D6,-5,14,49
,16,5,2,1,N6Y21501D6,-5,12,49
35494_037_PSP_MAINL,1,5,1,6,N6Y21501D6,-5,19,49
,2,5,1,5,N6Y21501D6,-5,20,49
,3,5,1,4,N6Y21501D6,-5,21,49
,4,5,1,3,N6Y21501D6,-5,22,49
,5,5,1,2,N6Y21501D6,-4,22,49
,6,5,1,1,N6Y21501D6,-4,21,49
,7,7,3,6,N6Y21501D6,-7,13,49
,8,7,3,5,N6Y21501D6,-7,14,49
,9,7,3,3,N6Y21501D6,-7,16,49
,10,7,3,2,N6Y21501D6,-7,17,49
,11,7,3,1,N6Y21501D6,-7,18,49
,12,7,2,6,N6Y21501D6,-6,20,49
,13,7,2,5,N6Y21501D6,-6,21,49
,14,7,2,4,N6Y21501D6,-6,22,49
,15,7,2,3,N6Y21501D6,-7,21,49
,16,7,2,2,N6Y21501D6,-7,20,49
35494_038_PSP_MAINL,1,7,2,1,N6Y21501D6,-7,19,49
,2,7,1,6,N6Y21501D6,-6,18,49
,3,7,1,5,N6Y21501D6,-6,17,49
,4,7,1,4,N6Y21501D6,-6,16,49
,5,7,1,3,N6Y21501D6,-6,15,49
,6,7,1,2,N6Y21501D6,-6,14,49
,7,7,1,1,N6Y21501D6,-6,13,49
,8,8,3,6,N6Y21501D6,-8,8,49
,9,8,3,5,N6Y21501D6,-8,7,49
,10,8,3,4,N6Y21501D6,-8,6,49
,11,8,3,3,N6Y21501D6,-8,5,49
,12,8,3,2,N6Y21501D6,-8,4,49
,13,8,3,1,N6Y21501D6,-8,3,49
,14,8,2,6,N6Y21501D6,-7,6,49
,15,8,2,5,N6Y21501D6,-7,5,49
,16,8,2,4,N6Y21501D6,-7,4,49
35494_039_PSP_MAINL,1,8,2,3,N6Y21501D6,-7,3,49
,2,8,2,2,N6Y21501D6,-7,2,49
,3,8,2,1,N6Y21501D6,-7,1,49
,4,8,1,6,N6Y21501D6,-7,7,49
,5,8,1,5,N6Y21501D6,-7,8,49
,6,8,1,4,N6Y21501D6,-7,9,49
,7,8,1,3,N6Y21501D6,-7,10,49
,8,8,1,2,N6Y21501D6,-7,11,49
,9,8,1,1,N6Y21501D6,-7,12,49
,10,9,3,6,N6Y21501D6,-9,10,49
,11,9,3,5,N6Y21501D6,-9,12,49
,12,9,3,4,N6Y21501D6,-9,13,49
,13,9,3,3,N6Y21501D6,-9,14,49
,14,9,3,2,N6Y21501D6,-9,16,49
,15,9,3,1,N6Y21501D6,-9,17,49
,16,9,2,6,N6Y21501D6,-8,15,49
35494_040_PSP_MAINL,1,9,2,5,N6Y21501D6,-8,16,49
,2,9,2,4,N6Y21501D6,-8,17,49
,3,9,2,3,N6Y21501D6,-8,18,49
,4,9,2,2,N6Y21501D6,-8,19,49
,5,9,2,1,N6Y21501D6,-8,20,49
,6,9,1,6,N6Y21501D6,-8,14,49
,7,9,1,5,N6Y21501D6,-8,13,49
,8,9,1,4,N6Y21501D6,-8,12,49
,9,9,1,3,N6Y21501D6,-8,11,49
,10,9,1,2,N6Y21501D6,-8,10,49
,11,9,1,1,N6Y21501D6,-8,9,49
,12,10,3,6,N6Y21502D1,-1,10,49
,13,10,3,5,N6Y21502D1,-1,11,49
,14,10,3,4,N6Y21502D1,-1,12,49
,15,10,3,3,N6Y21502D1,-1,13,49
,16,10,3,2,N6Y21502D1,-1,14,49
35494_041_PSP_MAINL,1,10,3,1,N6Y21502D1,-1,15,49
,2,10,2,6,N6Y21502D1,0,10,49
,3,10,2,5,N6Y21502D1,0,11,49
,4,10,2,4,N6Y21502D1,0,13,49
,5,10,2,2,N6Y21502D1,-1,17,49
,6,10,2,1,N6Y21502D1,-1,16,49
,7,10,1,6,N6Y21502D1,0,9,49
,8,10,1,5,N6Y21501D6,-9,5,49
,9,10,1,4,N6Y21501D6,-9,6,49
,10,10,1,3,N6Y21501D6,-9,7,49
,11,10,1,2,N6Y21501D6,-9,8,49
,12,10,1,1,N6Y21501D6,-9,9,49
,13,11,3,6,N6Y21502D1,-2,13,49
,14,11,3,5,N6Y21502D1,-2,12,49
,15,11,3,4,N6Y21502D1,-2,11,49
,16,11,3,3,N6Y21502D1,-2,10,49
35494_042_PSP_MAINL,1,11,3,2,N6Y21502D1,-2,9,49
,2,11,3,1,N6Y21502D1,-2,8,49
,3,11,2,6,N6Y21502D1,-2,2,49
,4,11,2,5,N6Y21502D1,-2,3,49
,5,11,2,4,N6Y21502D1,-2,4,49
,6,11,2,3,N6Y21502D1,-2,5,49
,7,11,2,2,N6Y21502D1,-2,6,49
,8,11,1,6,N6Y21502D1,-1,4,49
,9,11,1,5,N6Y21502D1,-1,5,49
,10,11,1,4,N6Y21502D1,-1,6,49
,11,11,1,3,N6Y21502D1,-1,7,49
,12,11,1,2,N6Y21502D1,-1,8,49
,13,11,1,1,N6Y21502D1,-1,9,49
,14,13,3,6,N6Y21502D1,-4,9,49
,15,13,3,5,N6Y21502D1,-4,8,49
,16,13,3,4,N6Y21502D1,-4,7,49
35494_043_PSP_MAINL,1,13,3,3,N6Y21502D1,-4,6,49
,2,13,3,2,N6Y21502D1,-4,5,49
,3,13,3,1,N6Y21502D1,-4,4,49
,4,13,2,6,N6Y21502D1,-3,2,49
,5,13,2,5,N6Y21502D1,-3,1,49
,6,13,2,4,N6Y21502D1,-4,0,49
,7,13,2,3,N6Y21502D1,-4,1,49
,8,13,2,2,N6Y21502D1,-4,2,49
,9,13,2,1,N6Y21502D1,-4,3,49
,10,13,1,6,N6Y21502D1,-3,3,49
,11,13,1,5,N6Y21502D1,-3,4,49
,12,13,1,4,N6Y21502D1,-3,5,49
,13,13,1,3,N6Y21502D1,-3,6,49
,14,13,1,2,N6Y21502D1,-3,7,49
,15,13,1,1,N6Y21502D1,-3,8,49
,16,14,3,6,N6Y21502D1,-5,18,49
35494_044_PSP_MAINL,1,14,3,5,N6Y21502D1,-5,19,49
,2,14,3,4,N6Y21502D1,-5,20,49
,3,14,3,3,N6Y21502D1,-5,21,49
,4,14,3,2,N6Y21502D1,-5,22,49
,5,14,3,1,N6Y21502D1,-4,22,49
,6,14,2,6,N6Y21502D1,-4,16,49
,7,14,2,5,N6Y21502D1,-4,17,49
,8,14,2,4,N6Y21502D1,-4,18,49
,9,14,2,3,N6Y21502D1,-4,19,49
,10,14,2,2,N6Y21502D1,-4,20,49
,11,14,2,1,N6Y21502D1,-4,21,49
,12,14,1,6,N6Y21502D1,-4,15,49
,13,14,1,5,N6Y21502D1,-4,14,49
,14,14,1,4,N6Y21502D1,-4,13,49
,15,14,1,3,N6Y21502D1,-4,12,49
,16,14,1,2,N6Y21502D1,-4,11,49
35494_046_PSP_MAINL,1,14,1,1,N6Y21502D1,-4,10,49
,2,15,3,6,N6Y21502D1,-6,0,49
,3,15,3,5,N6Y21502D1,-5,0,49
,4,15,3,4,N6Y21502D1,-5,2,49
,5,15,3,3,N6Y21502D1,-5,3,49
,6,15,3,2,N6Y21502D1,-5,4,49
,7,15,3,1,N6Y21502D1,-5,5,49
,8,15,2,6,N6Y21502D1,-5,11,49
,9,15,2,5,N6Y21502D1,-5,10,49
,10,15,2,4,N6Y21502D1,-5,9,49
,11,15,2,3,N6Y21502D1,-5,8,49
,12,15,2,2,N6Y21502D1,-5,7,49
,13,15,2,1,N6Y21502D1,-5,6,49
,14,15,1,6,N6Y21502D1,-5,12,49
,15,15,1,5,N6Y21502D1,-5,13,49
,16,15,1,4,N6Y21502D1,-5,14,49
35494_047_PSP_MAINL,1,15,1,3,N6Y21502D1,-5,15,49
,2,15,1,2,N6Y21502D1,-5,16,49
,3,15,1,1,N6Y21502D1,-5,17,49
,4,16,3,6,N6Y21502D1,-6,19,49
,5,16,3,5,N6Y21502D1,-6,18,49
,6,16,3,4,N6Y21502D1,-6,17,49
,7,16,3,3,N6Y21502D1,-6,16,49
,8,16,3,2,N6Y21502D1,-6,15,49
,9,16,3,1,N6Y21502D1,-6,14,49
,10,16,2,6,N6Y21502D1,-6,7,49
,11,16,2,5,N6Y21502D1,-6,8,49
,12,16,2,4,N6Y21502D1,-6,9,49
,13,16,2,3,N6Y21502D1,-6,11,49
,14,16,2,2,N6Y21502D1,-6,12,49
,15,16,2,1,N6Y21502D1,-6,13,49
,16,16,1,6,N6Y21502D1,-6,6,49
35494_048_PSP_MAINL,1,16,1,5,N6Y21502D1,-6,5,49
,2,16,1,4,N6Y21502D1,-6,4,49
,3,16,1,3,N6Y21502D1,-6,3,49
,4,16,1,2,N6Y21502D1,-6,2,49
,5,16,1,1,N6Y21502D1,-6,1,49
,6,17,3,6,N6Y21502D1,-7,7,49
,7,17,3,5,N6Y21502D1,-7,8,49
,8,17,3,4,N6Y21502D1,-7,9,49
,9,17,3,3,N6Y21502D1,-7,10,49
,10,17,3,2,N6Y21502D1,-7,11,49
,11,17,3,1,N6Y21502D1,-7,12,49
,12,17,2,6,N6Y21502D1,-7,18,49
,13,17,2,5,N6Y21502D1,-7,17,49
,14,17,2,4,N6Y21502D1,-7,16,49
,15,17,2,3,N6Y21502D1,-7,15,49
,16,17,2,2,N6Y21502D1,-7,14,49