センサNo.,Location No.,Waffelpack Number,Wafer Number,Chip Number
35494_049_PSP_MAINL,1,1,NAFR49_01,11
,2,1,NAFR49_02,12
,3,1,NAFR49_03,134
,4,1,NAFR49_04,14
,5,1,NAFR49_05,15
,6,1,NAFR49_06,16
,7,1,NAFR49_07,17
,8,1,NAFR49_08,18
,9,1,NAFR49_09,19
,10,1,NAFR49_10,135
,11,1,NAFR49_11,21
,12,1,NAFR49_12,22
,13,1,NAFR49_13,23
,14,1,NAFR49_14,24
,15,1,NAFR49_15,25
,16,1,NAFR49_16,26
35494_001_PSP_MAINR,1,1,NAFR49_17,27
,2,1,NAFR49_18,28
,3,2,NAFR49_19,29
,4,2,NAFR49_20,30
,5,2,NAFR49_21,31
,6,2,NAFR49_22,32
,7,2,NAFR49_23,33
,8,2,NAFR49_24,34
,9,2,NAFR49_25,35
,10,2,NAFR49_26,36
,11,2,NAFR49_27,37
,12,2,NAFR49_28,38
,13,2,NAFR49_29,39
,14,2,NAFR49_30,40
,15,2,NAFR49_31,137
,16,2,NAFR49_32,138
35494_002_PSP_MAINR,1,2,NAFR49_33,43
,2,2,NAFR49_34,44
,3,2,NAFR49_35,139
,4,2,NAFR49_36,141
,5,3,NAFR49_37,47
,6,3,NAFR49_38,142
,7,3,NAFR49_39,49
,8,3,NAFR49_40,144
,9,3,NAFR49_41,145
,10,3,NAFR49_42,146
,11,3,NAFR49_43,147
,12,3,NAFR49_44,148
,13,3,NAFR49_45,55
,14,3,NAFR49_46,56
,15,3,NAFR49_47,149
,16,3,NAFR49_48,58
35494_003_PSP_MAINR,1,3,NAFR49_49,150
,2,3,NAFR49_50,60
,3,3,NAFR49_51,61
,4,3,NAFR49_52,62
,5,3,NAFR49_53,151
,6,3,NAFR49_54,152
,7,4,NAFR49_55,65
,8,4,NAFR49_56,153
,9,4,NAFR49_57,154
,10,4,NAFR49_58,68
,11,4,NAFR49_59,155
,12,4,NAFR49_60,156
,13,4,NAFR49_61,71
,14,4,NAFR49_62,157
,15,4,NAFR49_63,158
,16,4,NAFR49_64,74
35494_004_PSP_MAINR,1,4,NAFR49_65,159
,2,4,NAFR49_66,160
,3,4,NAFR49_67,77
,4,4,NAFR49_68,161
,5,4,NAFR49_69,162
,6,4,NAFR49_70,80
,7,4,NAFR49_71,81
,8,4,NAFR49_72,82
,9,5,NAFR49_73,83
,10,5,NAFR49_74,84
,11,5,NAFR49_75,163
,12,5,NAFR49_76,86
,13,5,NAFR49_77,164
,14,5,NAFR49_78,88
,15,5,NAFR49_79,165
,16,5,NAFR49_80,166
35494_005_PSP_MAINR,1,5,NAFR49_81,169
,2,5,NAFR49_82,170
,3,5,NAFR49_83,171
,4,5,NAFR49_84,172
,5,5,NAFR49_85,173
,6,5,NAFR49_86,96
,7,5,NAFR49_87,174
,8,5,NAFR49_88,98
,9,5,NAFR49_89,99
,10,5,NAFR49_90,175
,11,6,NAFR49_91,101
,12,6,NAFR49_92,102
,13,6,NAFR49_93,103
,14,6,NAFR49_94,104
,15,6,NAFR49_95,105
,16,6,NAFR49_96,176